trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-87.62130666221032,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-118.54781356284633,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-170.20464415311727,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-44.208341244482405,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-140.70286206734679,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-144.08379607707752,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-73.92021122936698,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-169.54141333015284,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,9,-145.26206004246697,"{0: 8, 1: 0, 2: 4, 3: 2, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-142.68084890317078,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,9,-9.404072484461496,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,7,-18.592286772186053,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,4,-71.83677576715372,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-107.67943558657748,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,3,-47.804792260949775,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-112.82863830929276,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-63.9999639194313,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,23.73159816536058,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,8,-54.769826519877604,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,4,-37.067915273522324,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",35,7,-64.84803696355775,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 2}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-110.86325447189348,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-78.1744930857589,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,1,-16.79763721792855,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-81.11630678989728,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,16,-5.9307904194410845,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-52.9482472079405,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,16,-28.85554700861285,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-52.16694595985396,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,7,-172.08595030853022,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 4}",1
