trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.95}",20,0,-187.20120222491755,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.9, 'e': 0.9025}",25,0,-132.49107873932897,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.8573749999999999}",25,0,-129.52271031789584,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.8145062499999999}",20,0,-74.56549692066834,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.7737809374999999}",20,0,-70.56797100071914,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.7350918906249998}",25,0,-191.32184121903663,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.9, 'e': 0.6983372960937497}",25,2,-157.2452647576898,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 3}",1
8,False,"{'a': 0.9, 'e': 0.6634204312890623}",20,0,-75.70336971658415,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.6302494097246091}",30,0,-108.414533463083,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.5987369392383786}",30,5,-66.97692113063441,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.5688000922764596}",25,4,-22.743403436793916,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.9, 'e': 0.5403600876626365}",20,1,-106.7852749169196,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 2}",1
13,False,"{'a': 0.9, 'e': 0.5133420832795047}",20,0,-3.697614013047925,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.48767497911552943}",25,9,-2.0858111923937166,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.46329123015975293}",20,0,-26.32228816198026,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.44012666865176525}",25,7,-62.546347132402396,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.9, 'e': 0.41812033521917696}",20,0,11.159802292465134,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.3972143184582181}",25,0,-79.81867705961396,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.9, 'e': 0.37735360253530714}",30,8,-73.70009227633608,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
20,False,"{'a': 0.9, 'e': 0.35848592240854177}",30,0,-27.799741697153937,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.34056162628811465}",20,6,-60.657098135410834,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
22,False,"{'a': 0.9, 'e': 0.3235335449737089}",20,6,24.66365735600718,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.30735686772502346}",30,11,-24.51520830497255,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
24,False,"{'a': 0.9, 'e': 0.2919890243387723}",25,9,16.673088744789066,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.9, 'e': 0.27738957312183365}",20,4,27.781350681194674,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.263520094465742}",20,13,15.613050178754197,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.25034408974245487}",20,0,-15.811419589416397,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
28,False,"{'a': 0.9, 'e': 0.2378268852553321}",25,11,7.381306120013161,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.2259355409925655}",25,3,35.77619489063889,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.2146387639429372}",20,8,4.288882783402135,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.9, 'e': 0.20390682574579033}",25,15,5.697518200876639,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.1937114844585008}",25,6,-2.4042419332197627,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.9, 'e': 0.18402591023557577}",30,21,4.135115938079787,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.9, 'e': 0.17482461472379698}",25,0,-0.5680155441519357,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
35,False,"{'a': 0.9, 'e': 0.16608338398760714}",25,14,22.6113081749786,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.9, 'e': 0.15777921478822676}",20,11,13.80022428238198,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.9, 'e': 0.14989025404881542}",20,0,-36.31147370235979,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.9, 'e': 0.14239574134637464}",25,13,17.36075101306072,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.9, 'e': 0.1352759542790559}",25,0,34.96908900525693,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.9, 'e': 0.1285121565651031}",25,0,-2.426002116309209,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
41,False,"{'a': 0.9, 'e': 0.12208654873684793}",25,17,14.149571674413515,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.9, 'e': 0.11598222130000553}",25,20,9.447363751224351,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.11018311023500525}",20,4,9.216884875881025,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.9, 'e': 0.10467395472325498}",20,8,-30.756398325335148,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.9, 'e': 0.09944025698709223}",25,19,10.223718818297323,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.9, 'e': 0.09446824413773762}",20,3,0.160614776073303,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.08974483193085074}",30,4,42.48270895540044,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
