trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.49920976104808,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.28234617038174,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-189.54167638864197,"{0: 17, 1: 7, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.51538004454606,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.04578109990878,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.9909534751534,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.74825830654243,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.69092236394063,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-94.1302600030188,"{0: 16, 1: 5, 2: 9, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.43388888522801,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.11401376864433,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.33094459306564,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,3,-72.37195166341864,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,2,-114.9932256008729,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.02578045305058,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.51596707952966,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.42832389164217,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.16469986798936,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-128.64987178612208,"{0: 19, 1: 7, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.92924042967074,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-114.82914999169813,"{0: 17, 1: 1, 2: 11, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,9,-32.373726716240526,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.9218407001221,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-145.53954120260119,"{0: 20, 1: 8, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.7828056582718,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.014643191856166,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-53.447135177196074,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-78.1680559124923,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.5927651320383,"{0: 12, 1: 2, 2: 11, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-65.41814143659617,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
